,address,lat,lon
0,580 ALSTON STREET RICHLAND GA,32.086304,-84.660124
1,3500 SOUTH 4TH STREET LEAVENWORTH KS,39.2819467,-94.9059699
2,504 MEDICAL CENTER BOULEVARD CONROE TX,30.2849346,-95.4677877
3,709 BREEDLOVE DRIVE MONROE GA,33.7832376,-83.7188343
4,520 S. EAGLE ROAD MERIDIAN ID,43.5994634,-116.3525782
5,"408 HAZEN ST, PO BOX 209 PAW PAW MI",42.221456,-85.89675059999999
6,72 SOUTH STATE STREET SHELBY MI,43.6067553,-86.3643852
7,815 POLLARD RD LOS GATOS CA,37.2627564,-121.9696175
8,"3550 HIGHWAY 468 WEST, MS STATE HOSPITAL WHITFIELD MS",32.2436275,-90.0714964
9,164 W 13TH STREET GRAFTON ND,48.411052,-97.4145399
10,325 SPRING STREET RED BUD IL,38.2101659,-89.9962295
11,1199 PRINCE AVENUE ATHENS GA,33.9613926,-83.39796729999999
12,500 EAST VETERANS STREET TOMAH WI,44.0036157,-90.4934495
13,1700 E 38TH ST MARION IN,40.5198613,-85.6374682
14,3340 PLAZA 10 BOULEVARD BEAUMONT TX,30.0776148,-94.1377823
15,2000 MEDICAL DRIVE LAKEWAY TX,30.3452091,-97.9700994
16,1400 NORTH WILMOT ROAD TUCSON AZ,32.2398423,-110.8550343
17,24 HOSPITAL LANE CALAIS ME,45.1776046,-67.2679148
18,"233 DOCTORS ST, PO BOX 9 SPARTA NC",36.509544,-81.1145222
19,1400 NORTH TEXANA STREET HALLETTSVILLE TX,29.4573944,-96.9381064
20,3100 CHANNING WAY IDAHO FALLS ID,43.46994249999999,-111.9921783
21,412 DEVONIA STREET HARRIMAN TN,35.9356246,-84.5511296
22,"617 LIBERTY STREET, PO BOX 512 CLAY CENTER KS",39.3921973,-97.1235717
23,1200 RALSTON AVENUE DEFIANCE OH,41.2986899,-84.3767112
24,1310 SOUTH ALFORD STREET CRANE TX,31.3898477,-102.3497881
25,640 PARK AVE SHELBY MT,48.509745,-111.849463
26,234 GOODMAN STREET CINCINNATI OH,39.136865,-84.5023355
27,31 UNION ST VERNON ROCKVILLE CT,41.8661355,-72.4504652
28,15717 BELLE DRIVE HAMMOND LA,30.4635301,-90.4611097
29,310 SUNNYVIEW LN KALISPELL MT,48.2147675,-114.3236773
30,211 PARK STREET ATTLEBORO MA,41.9422653,-71.2756864
31,1900 SOUTH D STREET MCALLEN TX,26.1838146,-98.2183074
32,523 EAST STATE ROAD FAIRVIEW OK,36.2760386,-98.4745578
33,5900 SOUTH LAKE DRIVE CUDAHY WI,42.9366222,-87.85179099999999
34,845 UNION STREET SHELBYVILLE TN,35.4938054,-86.4727209
35,"400 TAYLOR ROAD, PO BOX 241267 MONTGOMERY AL",32.3288823,-86.1763209
36,"1 HOSPITAL DRIVE, ROOM CE121, DC03100 COLUMBIA MO",38.938273,-92.3273842
37,"180 W ESPLANADE AVE, FL 5 KENNER LA",30.0245345,-90.2706607
38,178 GRANDVIEW DRIVE COBLESKILL NY,42.6868837,-74.4819614
39,23019 HIGHWAY 149 SIGOURNEY IA,41.3228116,-92.2061447
40,525 MAIN STREET WEST MELROSE MN,45.67636,-94.8230148
41,110 N POPLAR STREET OXFORD OH,39.5122201,-84.7414515
42,3700 WASHINGTON AVE EVANSVILLE IN,37.9644071,-87.5041081
43,3020 WEST WHEATLAND ROAD DALLAS TX,32.6474031,-96.8725614
44,3700 KOLBE ROAD LORAIN OH,41.4361669,-82.237162
45,6601 HARRIS PARKWAY FORT WORTH TX,32.6541494,-97.4180937
46,101 CIRCLE DRIVE HILLSBORO TX,32.0109886,-97.13000609999999
47,315 WEST COLLEGE AVENUE SHELBY NC,35.24903560000001,-81.67678959999999
48,14550 OLD ST AUGUSTINE RD JACKSONVILLE FL,30.13758,-81.53538689999999
49,206 2ND ST E BRADENTON FL,27.4980678,-82.5621211
50,1006 HIGHLAND AVENUE SHREVEPORT LA,32.5025775,-93.74005249999999
51,1100 E NORRIS DRIVE OTTAWA IL,41.35766400000001,-88.82447359999999
52,110 LONGWOOD AVE ROCKLEDGE FL,28.3351595,-80.7226544
53,64 REHAB LANE DANVILLE PA,40.971355,-76.5993572
54,1 BURDICK EXPWY W 1255 MINOT ND,48.2326337,-101.292968
55,562 WYOMING AVENUE KINGSTON PA,41.2697285,-75.8894124
56,"1150 STATE STREET, PO BOX 607 PHILLIPSBURG KS",39.7561206,-99.32398529999999
57,1017 S TRAVIS CLEVELAND TX,30.3282948,-95.09378679999999
58,"4601 MCHUGH ROAD, BLDG B ZACHARY LA",30.6472864,-91.1397295
59,10800 MAGNOLIA AVE RIVERSIDE CA,33.9054214,-117.4678433
60,11234 ANDERSON ST LOMA LINDA CA,34.04945190000001,-117.2641774
61,1071 VARNUM AVENUE LOWELL MA,42.6443406,-71.3675627
62,8330 LAKEWOOD RANCH BLVD BRADENTON FL,27.3906962,-82.43521179999999
63,3333 NORTH FOSTER MALDONADO EAGLE PASS TX,28.7132217,-100.4556377
64,1315 PACIFIC AVENUE ATLANTIC CITY NJ,39.3610518,-74.4264111
65,503 EAST LINCOLN STREET HENDRICKS MN,44.5058546,-96.4183893
66,810 DRUMM STREET KIOWA KS,37.0151954,-98.48364629999999
67,372 W CYPRESS AVE REEDLEY CA,36.6081792,-119.4531164
68,2717 TIBBETS DRIVE BEDFORD TX,32.8342383,-97.1224536
69,44405 WOODWARD AVE PONTIAC MI,42.6128953,-83.27585409999999
70,6020 WEST PARKER ROAD PLANO TX,33.0450361,-96.83108039999999
71,2005 NW SAMMAMISH ROAD ISSAQUAH WA,47.5505431,-122.0640317
72,1421 GENERAL TAYLOR ST NEW ORLEANS LA,29.9260882,-90.0959614
73,3181 SW SAM JACKSON PARK ROAD PORTLAND OR,45.4990627,-122.6862985
74,745 POPLAR ROAD NEWNAN GA,33.3582943,-84.7558138
75,340 BAGLEY CIRCLE MARION VA,36.8331033,-81.511123
76,121 DREW AVENUE SE MADELIA MN,44.0489245,-94.4099304
77,326 WASHINGTON ST NORWICH CT,41.5425414,-72.0888772
78,951 E MARKET STREET CADIZ OH,40.2575993,-80.97784109999999
79,1441 CONSTITUTION BLVD SALINAS CA,36.6966688,-121.6330887
80,575 NORTH RIVER STREET WILKES-BARRE PA,41.2583955,-75.8670118
81,300 FIRST CAPITOL DRIVE ST. CHARLES MO,38.7799192,-90.4832866
82,8 PROSPECT STREET NASHUA NH,42.7564074,-71.4620781
83,10301 MAYO DRIVE BARLING AR,35.3411254,-94.3132699
84,1930 EAST THOMAS ROAD PHOENIX AZ,33.481025,-112.039626
85,420 W MAGNETIC MARQUETTE MI,46.5537807,-87.39905639999999
86,2211 N OAK PARK AVE CHICAGO IL,41.9196976,-87.7934994
87,"21720 KINGSLAND BLVD, SUITE 102 KATY TX",29.77623449999999,-95.74615109999999
88,310 THIRD STREET NE NORTON VA,36.9444704,-82.62546809999999
89,430 E DIVISION ST FOND DU LAC WI,43.77758040000001,-88.43131029999999
90,6411 FANNIN HOUSTON TX,29.71364,-95.3955912
91,6900 PECOS RD NORTH LAS VEGAS NV,36.2851896,-115.0945088
92,"100 MEDICAL PLAZA, 5TH FLOOR LAKE ST. LOUIS MO",38.8027808,-90.7757153
93,"187 NINTH STREET, HIGHWAY 84 WEST JENA LA",31.6831408,-92.13341
94,1401 E TRINITY MILLS RD CARROLLTON TX,32.9861868,-96.89816060000001
95,91 BEEHIVE CIR SAINT CLOUD FL,28.2603539,-81.3132986
96,2590 GRANT RD MOUNTAIN VIEW CA,37.3675816,-122.0795849
97,24552 PACIFIC PARK DRIVE ALISO VIEJO CA,33.5712625,-117.7011862
98,2813 S MAYHILL RD DENTON TX,33.1742689,-97.0869774
99,119 CHIMNEY ROAD RINCON GA,32.2584026,-81.2169239
