,coordinates,address
0,"40.76789122,-111.8614233","1050 E S Temple St, Salt Lake City, UT 84102, USA"
1,"40.78962092,-74.48918054","95 Mt Kemble Ave, Morristown, NJ 07960, USA"
2,"35.94044734,-83.94388413","1924 Alcoa Hwy, Knoxville, TN 37920, USA"
3,"41.2500045,-96.1340719","14000 Boys Town Hospital Rd, Boys Town, NE 68010, USA"
4,"40.64063773,-96.93554613","2910 Betten Dr, Crete, NE 68333, USA"
5,"29.51759211,-97.42934318","1110 Sarah DeWitt Dr, Gonzales, TX 78629, USA"
6,"35.20670495,-101.920865","7200 SW 9th Ave, Amarillo, TX 79106, USA"
7,"32.6398134,-97.41289763","5560 Mesa Springs Dr, Fort Worth, TX 76123, USA"
8,"28.52433987,-81.3791536","83 W Miller St, Orlando, FL 32806, USA"
9,"47.65090241,-117.4256712","911 W 5th Ave, Spokane, WA 99204, USA"
10,"41.72414871,-112.1825769","905 N 1000 W, Tremonton, UT 84337, USA"
11,"34.22414131,-119.1942305","2130 N Ventura Rd, Oxnard, CA 93036, USA"
12,"34.23760657,-88.67182751","1937 Briar Ridge Rd, Tupelo, MS 38804, USA"
13,"28.81282899,-96.97778632","2701 Hospital Dr, Victoria, TX 77901, USA"
14,"31.00048541,-86.31313797","804 Elm St, Florala, AL 36442, USA"
15,"38.93666726,-92.32905785","800 Hospital Dr, Columbia, MO 65201, USA"
16,"43.43675023,-103.4761791","500 N 5th St, Hot Springs, SD 57747, USA"
17,"29.71535513,-98.12308758","600 N Union Ave, New Braunfels, TX 78130, USA"
18,"33.10543268,-94.16312021","1011 S William St, Atlanta, TX 75551, USA"
19,"46.00851666,-112.5455135","435 S Crystal St Ste 230, Butte, MT 59701, USA"
20,"32.93443023,-97.0943835","1600 W College St #440, Grapevine, TX 76051, USA"
21,"38.12063059,-92.68304349","54 Hospital Dr, Osage Beach, MO 65065, USA"
22,"37.95613074,-87.50069541","4100 Covert Ave, Evansville, IN 47714, USA"
23,"38.06164318,-117.2224901","825 S Main St, Tonopah, NV 89049, USA"
24,"39.52594159,-119.796486","1155 Mill St 5th Fl, 5th Fl, Reno, NV 89502, USA"
25,"18.39876597,-66.0390983","Torre Médica San Francisco, 369 Calle de Diego Oficina #503, San Juan, 00923, Puerto Rico"
26,"39.92205017,-75.35005619","190 W Sproul Rd, Springfield, PA 19064, USA"
27,"41.25767,-96.03755209","8005 Farnam Dr # 303, Omaha, NE 68114, USA"
28,"36.86217987,-76.30284416","601 Children's Ln, Norfolk, VA 23507, USA"
29,"41.15124201,-101.7187189","2601 N Spruce St, Ogallala, NE 69153, USA"
30,"39.08408463,-94.5772711","2401 Gillham Rd, Kansas City, MO 64108, USA"
31,"44.01242072,-88.60104549","2700 W 9th Ave, Oshkosh, WI 54904, USA"
32,"42.82457353,-98.46849408","401 5th St, Lynch, NE 68746, USA"
33,"37.65063595,-80.86029453","115 Summers Hospital Rd, Hinton, WV 25951, USA"
34,"41.19327578,-96.63558327","1760 County Rd J, Wahoo, NE 68066, USA"
